09:04:16.152 /home/macfly/Git/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0

09:04:16.646 Rime started with address 1.0

09:04:16.657 MAC 01:00:00:00:00:00:00:00 Ref ID: 3617

09:04:16.657 Contiki-2.6-2121-gdf2cdbb started. Node id is set to 1.

09:04:16.666 nullmac ContikiMAC, channel check rate 8 Hz, radio channel 26

09:04:16.666 Starting 'Net test'

09:12:11.797 RX 3.0 MSG 235 12345678901234567890123456789012345678901

09:12:16.046 RX 3.0 MSG 237 12345678901234567890123456789012345678901

09:12:20.547 RX 3.0 MSG 239 12345678901234567890123456789012345678901

09:12:24.922 RX 3.0 MSG 241 12345678901234567890123456789012345678901

09:12:26.296 RX 3.0 MSG 242 12345678901234567890123456789012345678901

09:12:28.047 RX 3.0 MSG 243 12345678901234567890123456789012345678901

09:12:30.921 RX 3.0 MSG 244 12345678901234567890123456789012345678901

09:12:33.296 RX 3.0 MSG 245 12345678901234567890123456789012345678901

09:12:36.047 RX 3.0 MSG 246 12345678901234567890123456789012345678901

09:12:41.046 RX 3.0 MSG 248 12345678901234567890123456789012345678901

09:12:44.546 RX 3.0 MSG 250 12345678901234567890123456789012345678901

09:12:47.296 RX 3.0 MSG 251 12345678901234567890123456789012345678901

09:12:50.046 RX 3.0 MSG 252 12345678901234567890123456789012345678901

09:12:51.547 RX 3.0 MSG 253 12345678901234567890123456789012345678901

09:12:54.296 RX 3.0 MSG 255 12345678901234567890123456789012345678901

09:12:57.296 RX 3.0 MSG 256 12345678901234567890123456789012345678901

09:13:00.921 RX 3.0 MSG 258 12345678901234567890123456789012345678901

09:13:04.797 RX 3.0 MSG 260 12345678901234567890123456789012345678901

09:13:05.796 RX 3.0 MSG 261 12345678901234567890123456789012345678901

09:13:07.171 RX 3.0 MSG 262 12345678901234567890123456789012345678901

09:13:08.671 RX 3.0 MSG 263 12345678901234567890123456789012345678901

09:13:11.171 RX 3.0 MSG 264 12345678901234567890123456789012345678901

09:13:16.796 RX 3.0 MSG 267 12345678901234567890123456789012345678901

09:13:18.796 RX 3.0 MSG 268 12345678901234567890123456789012345678901

09:13:20.671 RX 3.0 MSG 269 12345678901234567890123456789012345678901

09:13:23.171 RX 3.0 MSG 270 12345678901234567890123456789012345678901

